language_id	paradigm_id
1	1
1	3
1	4
1	5
2	1
2	2
7	1
7	4
7	3
7	7
9	1
9	3
9	4
9	7
10	1
10	2
10	4
10	5
10	6
10	7
12	1
12	3
12	4
37	1
37	3
37	4
37	5
37	6
37	7
6	1
6	3
6	4
14	3
14	4
15	1
15	3
15	4
18	1
18	2
18	6
19	1
19	3
19	4
19	7
23	1
23	3
26	1
27	1
27	3
27	4
28	4
28	7
30	1
31	3
31	7
31	8
33	1
33	3
33	4
33	7
34	1
34	3
34	4
34	5
34	7
35	1
35	2
38	1
38	3
39	10
40	1
40	3
40	4
40	5
40	7
40	8
41	3
41	6
42	1
42	3
43	4
46	4
48	1
48	3
48	4
49	1
49	3
49	4
49	5
49	7
50	1
50	4
51	1
51	2
60	1
60	3
60	4
60	5
60	6
62	11
63	1
63	2
63	3
63	5
63	6
64	4
64	7
65	1
65	3
65	4
65	6
66	1
66	4
67	1
67	3
67	4
67	15
69	1
69	2
69	3
69	4
70	1
70	3
69	5
74	1
75	1
75	3
75	8
78	1
78	3
78	7
79	2
79	4
80	1
80	3
80	4
88	1
89	1
93	1
93	9
94	1
94	4
94	5
95	1
95	7
99	3
99	4
99	5
102	1
102	2
102	4
102	5
103	1
103	2
103	4
104	3
104	4
105	3
106	1
106	2
106	4
109	1
111	4
111	3
111	1
113	3
113	1
113	4
113	10
113	7
113	8
113	12
120	7
120	4
120	3
120	1
121	13
121	3
121	12
122	3
123	14
125	3
125	1
125	4
125	8
125	6
127	3
127	6
134	4
134	2
134	1
136	6
137	2
139	4
141	4
143	1
143	4
144	3
144	12
144	13
145	4
145	1
145	3
145	8
151	3
151	4
152	6
159	3
162	4
165	2
165	1
165	4
166	4
167	1
167	4
168	4
170	1
170	3
174	1
174	3
176	1
176	13
182	1
182	3
182	4
184	1
184	2
187	1
187	6
188	1
188	3
189	3
191	1
191	4
191	6
192	1
192	4
193	1
193	4